cell_id,A_E2SFCA,A_per_10k,pop
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,98
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,22
17,0,0,5
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,1360
27,1.430816118e-05,0.1430816118,10
28,1.380047557e-05,0.1380047557,0
29,1.319612599e-05,0.1319612599,0
30,1.255471903e-05,0.1255471903,0
31,1.192946189e-05,0.1192946189,0
32,1.136121132e-05,0.1136121132,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,24
45,0,0,0
46,1.711964649e-05,0.1711964649,644
47,1.723691544e-05,0.1723691544,0
48,1.707202768e-05,0.1707202768,9
49,1.666791428e-05,0.1666791428,24
50,1.608399188e-05,0.1608399188,31
51,1.538881518e-05,0.1538881518,10
52,1.465165932e-05,0.1465165932,0
53,1.393425154e-05,0.1393425154,0
54,1.328383981e-05,0.1328383981,11
55,1.272855606e-05,0.1272855606,0
56,1.227564914e-05,0.1227564914,0
57,1.191269855e-05,0.1191269855,0
58,1.161145857e-05,0.1161145857,81
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,55
71,0,0,60
72,0,0,0
73,1.704615116e-05,0.1704615116,0
74,1.81796511e-05,0.181796511,1158
75,1.900209229e-05,0.1900209229,1875
76,1.948356754e-05,0.1948356754,307
77,1.962092218e-05,0.1962092218,49
78,1.943845437e-05,0.1943845437,27
79,1.898514123e-05,0.1898514123,53
80,1.832866298e-05,0.1832866298,21
81,1.754701931e-05,0.1754701931,3
82,1.671892975e-05,0.1671892975,0
83,1.591440952e-05,0.1591440952,1544
84,1.518687577e-05,0.1518687577,620
85,1.456787753e-05,0.1456787753,0
86,1.406510583e-05,0.1406510583,0
87,1.366381031e-05,0.1366381031,0
88,1.333122138e-05,0.1333122138,520
89,1.302313974e-05,0.1302313974,925
90,0,0,0
91,0,0,0
92,0,0,13
93,0,0,18
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,1
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,180
103,0,0,222
104,0,0,5
105,0,0,0
106,0,0,6
107,1.369758536e-05,0.1369758536,325
108,1.55357144e-05,0.155357144,750
109,1.741297209e-05,0.1741297209,588
110,1.896217082e-05,0.1896217082,829
111,2.022462808e-05,0.2022462808,1020
112,2.114183103e-05,0.2114183103,765
113,2.168070286e-05,0.2168070286,0
114,2.183793091e-05,0.2183793091,3
115,2.164072909e-05,0.2164072909,6
116,2.114373055e-05,0.2114373055,0
117,2.042231437e-05,0.2042231437,0
118,1.956325224e-05,0.1956325224,0
119,1.865400426e-05,0.1865400426,4
120,1.777221595e-05,0.1777221595,7
121,1.697692853e-05,0.1697692853,0
122,1.63027224e-05,0.163027224,0
123,1.57575266e-05,0.157575266,0
124,1.532423504e-05,0.1532423504,21
125,1.49656804e-05,0.149656804,8
126,1.463202807e-05,0.1463202807,2860
127,1.426934369e-05,0.1426934369,3202
128,0,0,737
129,0,0,667
130,0,0,0
131,0,0,8
132,0,0,0
133,0,0,4
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,5
139,0,0,0
140,0,0,0
141,0,0,3
142,0,0,0
143,0,0,0
144,0,0,7
145,0,0,2
