cell_id,A_E2SFCA,A_per_10k,pop
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,98
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,6.715320174e-08,0.0006715320174,22
17,0,0,5
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,1360
27,1.676124727e-05,0.1676124727,10
28,1.628196058e-05,0.1628196058,0
29,1.609224258e-05,0.1609224258,0
30,1.584059124e-05,0.1584059124,0
31,1.529472039e-05,0.1529472039,0
32,1.504501576e-05,0.1504501576,0
33,1.008513155e-07,0.001008513155,0
34,8.3067025e-08,0.00083067025,0
35,6.77380673e-08,0.000677380673,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,8.496195057e-07,0.008496195057,24
45,1.018841614e-06,0.01018841614,0
46,1.860274118e-05,0.1860274118,644
47,1.849428107e-05,0.1849428107,0
48,1.834037777e-05,0.1834037777,9
49,1.813861331e-05,0.1813861331,24
50,1.780149031e-05,0.1780149031,31
51,1.760375978e-05,0.1760375978,10
52,1.734306603e-05,0.1734306603,0
53,1.70242712e-05,0.170242712,0
54,1.625441524e-05,0.1625441524,11
55,1.59434187e-05,0.159434187,0
56,1.557471195e-05,0.1557471195,0
57,1.515442779e-05,0.1515442779,0
58,1.46881335e-05,0.146881335,81
59,1.235095546e-07,0.001235095546,0
60,1.017296721e-07,0.001017296721,0
61,8.295676145e-08,0.0008295676145,0
62,6.697504112e-08,0.0006697504112,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,8.777400746e-07,0.008777400746,0
70,1.063141503e-06,0.01063141503,55
71,1.27489164e-06,0.0127489164,60
72,1.513604914e-06,0.01513604914,0
73,2.040106812e-05,0.2040106812,0
74,2.032683674e-05,0.2032683674,1158
75,2.022737659e-05,0.2022737659,1875
76,2.009584427e-05,0.2009584427,307
77,1.992658849e-05,0.1992658849,49
78,1.994601444e-05,0.1994601444,27
79,1.972184396e-05,0.1972184396,53
80,1.94531883e-05,0.194531883,21
81,1.887221007e-05,0.1887221007,3
82,1.858085598e-05,0.1858085598,0
83,1.829336841e-05,0.1829336841,1544
84,1.790618177e-05,0.1790618177,620
85,1.702428302e-05,0.1702428302,0
86,1.664441523e-05,0.1664441523,0
87,1.620940998e-05,0.1620940998,0
88,1.572500254e-05,0.1572500254,520
89,1.519635664e-05,0.1519635664,925
90,1.800058273e-07,0.001800058273,0
91,1.497533681e-07,0.001497533681,0
92,1.233456074e-07,0.001233456074,13
93,1.005837522e-07,0.001005837522,18
94,8.120617079e-08,0.0008120617079,0
95,6.490935402e-08,0.0006490935402,0
96,0,0,0
97,0,0,1
98,0,0,0
99,0,0,0
100,8.888357013e-07,0.008888357013,0
101,1.087400631e-06,0.01087400631,0
102,1.317087797e-06,0.01317087797,180
103,1.57941743e-06,0.0157941743,222
104,1.875150725e-06,0.01875150725,5
105,2.204106083e-06,0.02204106083,0
106,2.564991081e-06,0.02564991081,6
107,2.335215654e-05,0.2335215654,325
108,2.313268155e-05,0.2313268155,750
109,2.224713175e-05,0.2224713175,588
110,2.209652166e-05,0.2209652166,829
111,2.19332152e-05,0.219332152,1020
112,2.17498994e-05,0.217498994,765
113,2.176454855e-05,0.2176454855,0
114,2.155817891e-05,0.2155817891,3
115,2.13178236e-05,0.213178236,6
116,2.104009716e-05,0.2104009716,0
117,2.072287429e-05,0.2072287429,0
118,2.00658649e-05,0.200658649,0
