name,type,mun,prov,lon,lat
ABLA,clinic,Abla,Almer’a,-2.766734163198057,37.16257424034577
ABRUCENA,clinic,Abrucena,Almer’a,-2.8260701636013192,37.130763629817636
ADRA,clinic,Adra,Almer’a,-3.048714710473167,36.77327767833503
AGUADULCE,clinic,Roquetas de Mar,Almer’a,-2.6162500105133866,36.77805967911153
AGUADULCE SUR,clinic,Roquetas de Mar,Almer’a,-2.6162500105133866,36.77805967911153
ALBANCHEZ,clinic,Albanchez,Almer’a,-2.1606616444263755,37.285112520377275
ALBOLODUY,clinic,Alboloduy,Almer’a,-2.6283793813713707,37.062357232942986
ALBOX,clinic,Albox,Almer’a,-2.1362491368778027,37.44994108903529
ALCOLEA,clinic,Alcolea,Almer’a,-2.98635274322812,36.93971361620895
ALCUDIA DE MONTEAGUD,clinic,Alcudia de Monteagud,Almer’a,-2.254873994669019,37.234465787243636
ALFAIX,clinic,"Gallardos, Los",Almer’a,-1.9514092521663038,37.15979171875091
ALHABIA,clinic,Alhabia,Almer’a,-2.560905916822343,36.993383632928754
ALJARIZ,clinic,Antas,Almer’a,-1.9532416968408626,37.25311182904687
ALMANZORA,clinic,Cantoria,Almer’a,-2.1807693366381624,37.34193538625549
ALMERIMAR,clinic,"Ejido, El",Almer’a,-2.782494247020695,36.75013983169191
ALSODUX,clinic,Alsodux,Almer’a,-2.5890475053054187,37.0242314519119
ANTAS,clinic,Antas,Almer’a,-1.9532416968408626,37.25311182904687
ARBOLEAS,clinic,Arboleas,Almer’a,-2.084009200550347,37.353012248952005
ARGAMASON,clinic,Carboneras,Almer’a,-1.9410671989929305,37.00522190057273
BACARES,clinic,Bacares,Almer’a,-2.4773728076479937,37.25185422373191
BALANEGRA,clinic,Berja,Almer’a,-2.964026708804343,36.85486916685441
BALERMA,clinic,"Ejido, El",Almer’a,-2.782494247020695,36.75013983169191
BAYARQUE,clinic,Bayarque,Almer’a,-2.447804874143746,37.31435701696346
BEHAHADUX,clinic,Benahadux,Almer’a,-2.47393301253137,36.916013301901586
BEIRES,clinic,Beires,Almer’a,-2.808513594925393,37.042771238186894
BENITAGLA,clinic,Benitagla,Almer’a,-2.226212341998002,37.235340158037744
BENITORAFE,clinic,Tahal,Almer’a,-2.2835854965945446,37.189769103478504
BENTARIQUE,clinic,Bentarique,Almer’a,-2.649166738605783,36.964500838574295
BERJA,clinic,Berja,Almer’a,-2.964026708804343,36.85486916685441
