LAU_NAME,cells,pop,A_mean,A_popw,A_p05,A_p95,Gini
Abla,45.0,1204.0,0.00032611766210666665,0.00037347586333114617,0.00023115114982,0.00037956523728,0.002886828931625285
Abrucena,84.0,1272.0,0.00033631173208571426,0.0003763174402527515,0.00026913760154,0.0003812014741,0.00907030916638607
Adra,83.0,20780.0,5.6087164531566275e-05,5.5911255424572186e-05,3.9861699217e-05,7.045553734799999e-05,0.019093182388125518
Albanchez,34.0,731.0,0.00021691714302941176,0.00022642900375526676,0.00019628332732,0.000240260303475,0.020569252206986577
Alboloduy,71.0,618.0,0.00021298905450422534,0.00019233993305663432,0.0001651314971,0.00029088382175,0.005286103787736196
Albox,168.0,12369.0,8.184796190648809e-05,0.00012279054936506427,3.4677254588e-05,0.00013871297009,0.0721930550052845
Alcolea,61.0,796.0,0.0001149050107985246,0.000126940346757098,9.267062079e-05,0.0001333959177,0.016233553451114102
Alcudia de Monteagud,15.0,129.0,0.0002781895431733334,0.0002821085114077519,0.00027195790048,0.00028215657848,0.0006109635773233757
Alcóntar,74.0,533.0,8.943145421702703e-05,5.472850920283302e-05,3.7501105019e-05,0.000139082987635,0.18873428654601332
Alhabia,15.0,696.0,0.00012123671303333333,0.00013428113468117817,0.00010576600906,0.00013666103536,0.01628521463986543
Alhama de Almería,25.0,3691.0,8.891719361e-05,9.95867459660309e-05,7.3530197388e-05,0.00011014006777999998,0.025667822161025144
Alicún,7.0,187.0,0.00010563685587714284,0.0001190921043,8.964911076e-05,0.00012531128188,0.0
Almería,308.0,194526.0,7.643594954802404e-06,1.2175503583607929e-05,2.5759290639000004e-07,2.4155700074e-05,0.16259674286462578
Almócita,30.0,196.0,0.00016844026938,0.00023472101906683675,0.00011005248947,0.000230430544645,0.0022887039037154944
Alsodux,22.0,128.0,0.00016234817772727272,0.0001493028757734375,0.000124201935965,0.00027152894848,0.0017615624230790106
Antas,98.0,3355.0,9.172958590693879e-05,8.113004821611624e-05,7.20075102395e-05,0.00011754351305,0.0278665441502135
Arboleas,66.0,4477.0,0.00013258858933424243,0.00013371168381390885,8.3123883665e-05,0.00017679305025,0.07041322156972529
Armuña de Almanzora,8.0,317.0,0.0001418734452,0.00015065708536687698,0.000127433963815,0.00016103498365499999,0.012430402256153217
Bacares,92.0,247.0,0.00020099864943695655,0.00021808816760485829,0.000167241319685,0.000230123969595,0.002566756090484734
Balanegra,32.0,3034.0,6.03559889546875e-05,4.593620265002636e-05,4.70406569555e-05,7.1938826892e-05,0.4788029518643604
Bayarque,29.0,216.0,0.00018625435244827587,0.0001754502288851852,0.00016530147547999999,0.00020689852684,0.008518140380754824
Bayárcal,29.0,322.0,0.00011138203986620692,0.00010465782700000001,9.2654826408e-05,0.00012833114691999998,0.0
Baza,13.0,0.0,0.00019386441316923076,,0.00017968941276,0.00021560881316,
Beires,39.0,133.0,0.00029924953811794877,0.0002522674452458646,0.00024848415642000004,0.0003452503257,0.0002980008975055348
Benahadux,16.0,4548.0,3.6626240741875e-05,3.4091816132722075e-05,2.9852607987499997e-05,4.29805721775e-05,0.0324251744567996
Benitagla,8.0,61.0,0.00027286039771249996,0.0002776678082,0.000266179420375,0.000278126008215,0.0
Benizalón,34.0,270.0,0.0002444075294735294,0.00025953780269814814,0.00021664225685,0.000268360949875,0.03708505539518103
Bentarique,13.0,236.0,0.00013236286172692307,0.0001545435535,0.00010438468332,0.00016838644929999998,0.0
Berja,187.0,12624.0,9.600753202588235e-05,9.671599867099018e-05,7.440242184200001e-05,0.00011690713859,0.014053137492254453
Bédar,47.0,946.0,9.417415632893618e-05,9.524011858233617e-05,8.639848305e-05,0.00010317808156999999,0.02115947876799218
Canjáyar,67.0,1171.0,0.0001986006313126866,0.00023592753016678052,9.4189694514e-05,0.00030553144723999997,0.00934993030005904
Cantoria,79.0,3573.0,0.00017621028298734175,0.00016902966807987686,0.00014493758787,0.00020662859757999998,0.02788244287346353
Caravaca de la Cruz,6.0,0.0,0.0,,0.0,0.0,
Carboneras,97.0,7020.0,7.071071807690721e-05,6.926122980128919e-05,5.7947711924e-05,7.8678145644e-05,0.01527602264614858
Castro de Filabres,32.0,113.0,0.000171558962303125,0.00018291585849911505,0.00013653782118,0.00019877728576499999,0.006346592318021926
Chercos,12.0,292.0,0.00027196208918333335,0.0002713564920565068,0.00026323191605,0.00028056703084,0.00358695699879763
Chirivel,190.0,1490.0,6.466751393857894e-06,5.607390356516108e-06,1.20145377605e-06,1.8959454717999988e-05,0.15118764356776837
Cuevas del Almanzora,265.0,14309.0,2.4945419966671698e-05,4.02743755079088e-05,4.6030157098000005e-06,6.120527549799998e-05,0.19597161401723828
Cóbdar,32.0,162.0,0.00024380236394375002,0.00025622553277530863,0.00021132260489,0.00026893174138,0.01497340160169891
Cúllar,2.0,0.0,5.926510079e-06,,5.4360992644999995e-06,6.4169208935e-06,
Dalías,140.0,4093.0,6.39488831345e-05,6.58512663294234e-05,3.9462633876e-05,9.180330701549995e-05,0.021624572007000187
"Ejido, El",219.0,81601.0,2.9597210520593608e-05,3.28099118263161e-05,1.7024281838e-05,4.5827478623e-05,0.09858870961899013
Enix,69.0,536.0,4.744045368971014e-05,4.6483185080820904e-05,2.3038603094e-05,7.9195729304e-05,0.06827547793212019
Felix,81.0,677.0,5.666735980740742e-05,4.506625091060561e-05,3.521284234e-05,8.523575214e-05,0.010988855060162228
Fines,23.0,2207.0,0.00014257193930086956,0.00015456133409642045,9.6551286422e-05,0.0001808585463,0.0019142187967767788
Fiñana,111.0,1992.0,0.00023823228188108104,0.0003079386412162148,0.00015412541145,0.00032487141555,0.010335450528384027
Fondón,93.0,1036.0,0.00018039456588236558,0.00018129409421669887,0.00011143525392000001,0.00029198311639999994,0.02147800816953782
"Gallardos, Los",34.0,2985.0,8.29666125602941e-05,8.356439940673032e-05,7.5839922506e-05,8.793994106049999e-05,0.014936425069687287
Garrucha,7.0,6613.0,4.4285276812857135e-05,4.061304741127174e-05,3.9977413836e-05,4.8801263821999995e-05,0.5040071357413054
Gádor,83.0,2846.0,6.225796568530121e-05,5.59122791391286e-05,4.2927598189e-05,8.862058678999999e-05,0.00809884551159834
Gérgal,234.0,1100.0,0.00015098879399876066,0.00014835366143054545,0.00010408207917000001,0.000191542334485,0.04522972021698635
Huécija,19.0,499.0,0.00011041516643157895,0.00012396173690841684,8.8358763e-05,0.00013192447203999998,0.011595096014526352
Huéneja,4.0,0.0,0.0001369438685,,0.00011458852067,0.00016046610422,
Huércal de Almería,24.0,19053.0,2.5884752654583333e-05,1.8081012815645306e-05,1.62525153605e-05,3.6950289337499994e-05,0.09123499832032411
Huércal-Overa,319.0,19647.0,3.431058236353918e-05,3.938246908705496e-05,6.3693200372e-06,8.398776749899998e-05,0.1491050090977154
