mun,cells,pop,A_mean,A_p05,A_p95,Gini
Abla,45.0,1204.0,0.00037347586333114617,0.00023115114982,0.00037956523728,0.002926805515157227
Abrucena,84.0,1272.0,0.0003763174402527515,0.00026913760154,0.0003812014741,0.00907799673401477
Adra,83.0,20780.0,5.5911255424572186e-05,3.9861699217e-05,7.045553734799999e-05,0.019093182388125296
Albanchez,34.0,731.0,0.00022642900375526676,0.00019628332732,0.000240260303475,0.021588562882459583
Alboloduy,71.0,618.0,0.00019233993305663432,0.0001651314971,0.00029088382175,0.008564965602162689
Albox,168.0,12369.0,0.00012279054936506427,3.4677254588e-05,0.00013871297009,0.07219305500528472
Alcolea,61.0,796.0,0.000126940346757098,9.267062079e-05,0.0001333959177,0.01640861003963834
Alcudia de Monteagud,15.0,129.0,0.0002821085114077519,0.00027195790048,0.00028215657848,0.0008488429644457618
Alcóntar,74.0,533.0,5.472850920283302e-05,3.7501105019e-05,0.000139082987635,0.18887729453815494
Alhabia,15.0,696.0,0.00013428113468117817,0.00010576600906,0.00013666103536,0.01628521463986543
Alhama de Almería,25.0,3691.0,9.95867459660309e-05,7.3530197388e-05,0.00011014006777999998,0.025678400585878003
Alicún,7.0,187.0,0.0001190921043,8.964911076e-05,0.00012531128188,1.0
Almería,308.0,194526.0,1.2175503583607929e-05,2.5759290639000004e-07,2.4155700074e-05,0.1625967428646261
Almócita,30.0,196.0,0.00023472101906683675,0.00011005248947,0.000230430544645,0.04991757738089908
Alsodux,22.0,128.0,0.0001493028757734375,0.000124201935965,0.00027152894848,0.9085298388635819
Antas,98.0,3355.0,8.113004821611624e-05,7.20075102395e-05,0.00011754351305,0.0278665441502135
Arboleas,66.0,4477.0,0.00013371168381390885,8.3123883665e-05,0.00017679305025,0.07041322156972563
Armuña de Almanzora,8.0,317.0,0.00015065708536687698,0.000127433963815,0.00016103498365499999,0.012464278625583747
Bacares,92.0,247.0,0.00021808816760485829,0.000167241319685,0.000230123969595,0.5861064981847315
Balanegra,32.0,3034.0,4.593620265002636e-05,4.70406569555e-05,7.1938826892e-05,0.4788029518643606
Bayarque,29.0,216.0,0.0001754502288851852,0.00016530147547999999,0.00020689852684,0.030594600685077133
Bayárcal,29.0,322.0,0.00010465782700000001,9.2654826408e-05,0.00012833114691999998,1.0
Baza,13.0,0.0,0.00019386441316923076,0.00017968941276,0.00021560881316,
Beires,39.0,133.0,0.0002522674452458646,0.00024848415642000004,0.0003452503257,0.0008000698466770206
Benahadux,16.0,4548.0,3.4091816132722075e-05,2.9852607987499997e-05,4.29805721775e-05,0.03242517445679971
Benitagla,8.0,61.0,0.0002776678082,0.000266179420375,0.000278126008215,1.0
Benizalón,34.0,270.0,0.00025953780269814814,0.00021664225685,0.000268360949875,0.03718682273748275
Bentarique,13.0,236.0,0.0001545435535,0.00010438468332,0.00016838644929999998,1.0
Berja,187.0,12624.0,9.671599867099018e-05,7.440242184200001e-05,0.00011690713859,0.014053155995762734
Bédar,47.0,946.0,9.524011858233617e-05,8.639848305e-05,0.00010317808156999999,0.021551962700513738
Canjáyar,67.0,1171.0,0.00023592753016678052,9.4189694514e-05,0.00030553144723999997,0.009378568124491116
Cantoria,79.0,3573.0,0.00016902966807987686,0.00014493758787,0.00020662859757999998,0.02788351497921504
Caravaca de la Cruz,6.0,0.0,0.0,0.0,0.0,
Carboneras,97.0,7020.0,6.926122980128919e-05,5.7947711924e-05,7.8678145644e-05,0.01528120679182532
Castro de Filabres,32.0,113.0,0.00018291585849911505,0.00013653782118,0.00019877728576499999,0.00658756966314622
